District,stream,degree,year,students_sat,students_passed,z-score_cutoff
colombo,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,2688,1838,1.1013
gampaha,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,1648,970,1.1023
kalutara,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,1018,609,1.0828
kandy,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,1615,860,1.1451
galle,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,1271,694,1.0818
hambantota,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,722,317,1.1005
kurunegala,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,1567,802,1.1387
badulla,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,784,399,1.1267
kegalle,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,972,467,1.0838
ratnapura,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2019,943,476,1.0929
colombo,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,2688,1838,1.0427
gampaha,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,1648,970,1.0294
kalutara,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,1018,609,1.0277
kandy,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,1615,860,1.0448
nuwara eliya,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,518,239,1.1197
galle,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,1271,694,1.0453
jaffna,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,779,482,1.1475
batticaloa,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,502,293,1.2115
ampara,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,730,355,1.0292
puttalam,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,493,284,1.1087
kurunegala,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,1567,802,1.0631
badulla,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,784,399,1.0701
kegalle,biological science,AGRICULTURE Wayamba University of Sri Lanka,2019,972,467,1.0903
colombo,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,2688,1838,1.4539
gampaha,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,1648,970,1.4708
kalutara,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,1018,609,1.5003
matale,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,443,179,1.3013
kandy,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,1615,860,1.5409
nuwara eliya,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,518,239,1.1645
galle,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,1271,694,1.5573
hambantota,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,722,317,1.4368
jaffna,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,779,482,1.5806
kilinochchi,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,114,72,0.6568
mannar,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,102,56,1.2408
mullaitivu,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,81,42,0.5614
vavuniya,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,170,85,0.9971
trincomalee,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,331,182,1.2125
batticaloa,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,502,293,1.4483
ampara,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,730,355,1.4106
puttalam,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,493,284,1.4168
kurunegala,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,1567,802,1.5165
anuradhapura,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,703,266,1.331
polonnaruwa,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,338,117,1.1775
badulla,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,784,399,1.5391
monaragala,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,372,136,1.0491
kegalle,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,972,467,1.5712
ratnapura,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2019,943,476,1.5624
colombo,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2019,2688,1838,1.8514
