Year,District,Programme,Stream,Number,Passed,Z-Score
2022,GAMPAHA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.955
2022,KALUTARA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9559
2022,MATALE,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9778
2022,KANDY,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9598
2022,NUWARA ELIYA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9775
2022,GALLE,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9552
2022,MATARA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.955
2022,HAMBANTOTA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9606
2022,JAFFNA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,
2022,KILINOCHCHI,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,
2022,MANNAR,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,
2022,MULLAITIVU,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,
2022,VAVUNIYA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9671
2022,TRINCOMALEE,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,2.0044
2022,BATTICALOA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9614
2022,AMPARA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9566
2022,PUTTALAM,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9578
2022,KURUNEGALA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9594
2022,ANURADHAPURA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9552
2022,POLONNARUWA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,
2022,BADULLA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9626
2022,MONARAGALA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9757
2022,KEGALLE,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9616
2022,RATNAPURA,MEDICINE (University of Ruhuna),Bio Science,40329.0,25851.0,1.9571
2022,COLOMBO,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8732
2022,GAMPAHA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8707
2022,KALUTARA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8732
2022,MATALE,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,
2022,KANDY,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8827
2022,NUWARA ELIYA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.9286
2022,GALLE,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8728
2022,MATARA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.913
2022,HAMBANTOTA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.9222
2022,JAFFNA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,2.0797
2022,KILINOCHCHI,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,
2022,MANNAR,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,
2022,MULLAITIVU,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,
2022,VAVUNIYA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8938
2022,TRINCOMALEE,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8843
2022,BATTICALOA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,
2022,AMPARA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8997
2022,PUTTALAM,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.9381
2022,KURUNEGALA,MEDICINE (University of Moratuwa),Bio Science,40329.0,25851.0,1.8901
